task_key,min_memory_mb,max_memory_mb
"('assign-d389867e25312b5ea0041becb0b134e7', 0)",275.609375,275.609375
"('assign-d389867e25312b5ea0041becb0b134e7-index-fb886502a87fb7bb2923b9eb509215ec', 0)",275.609375,275.609375
"('from-dask-array-c779a3465119bfd9a86d36be5c787607', 0)",221.765625,221.765625
"('assign-3f77a21fd1de51b0f924b91ec94f19c6', 0)",0,0
"('assign-3f77a21fd1de51b0f924b91ec94f19c6-index-494f0d2cc0fb9250f14328e0e7cf7be5', 0)",275.609375,275.609375
"('from-dask-array-1ecf4dc1832bcee1871ded6a457b6a3d', 0)",221.765625,221.765625
"('assign-b37d495e7d78a0d2be0e668d2a034773', 0)",0,0
"('assign-b37d495e7d78a0d2be0e668d2a034773-index-04aebe162d31bb924405a5b2b8de453d', 0)",0,0
"('from-dask-array-7ed94c4aa77c19e73a68a9722a738e8d', 0)",221.765625,221.765625
"('assign-2483a1912a8d157ade880e67059f05f6', 0)",275.609375,275.609375
"('drop_by_shallow_copy-2fd7cc4442f67b116805ade6be099143', 0)",0,0
"('getitem-00c3bc50e51aeb42675626e00902c22e', 0)",0,0
"('astype-b563c4b51c8be729c6a44f15becde6c7', 0)",0,0
"('assign-8957d4ce7b8b2907cc01fab1d0ddf340', 0)",275.609375,275.609375
"('getitem-ce1a7c76c10d8cf986223dbfabfec30b', 0)",0,0
"('astype-b85472d8043d1de1db55008196a3e38d', 0)",0,0
"('assign-2bc38d671d3491bafaea3775a6a9324c', 0)",0,0
"('getitem-e493b5a30bfc0b493b721317dbecca51', 0)",0,0
"('astype-61a4fe91cd22af9d7274b8ac4313cd12', 0)",0,0
"('assign-28f9fe13795f35f58f8badea093e7724', 0)",275.609375,275.609375
"('try_loc-1e5cd7efb939cb950838adaacad5258d', 0)",0,0
"('get-categories-chunk-90e2670ae3f916c0d2337ec3f4e21eb1', 0)",0,0
"('get-categories-agg-90e2670ae3f916c0d2337ec3f4e21eb1', 0)",0,0
