task_key,min_memory_mb,max_memory_mb
"('assign-d389867e25312b5ea0041becb0b134e7', 0)",0,0
"('assign-d389867e25312b5ea0041becb0b134e7-index-fb886502a87fb7bb2923b9eb509215ec', 0)",0,0
"('from-dask-array-c779a3465119bfd9a86d36be5c787607', 0)",0,0
"('assign-3f77a21fd1de51b0f924b91ec94f19c6', 0)",313.171875,313.171875
"('assign-3f77a21fd1de51b0f924b91ec94f19c6-index-494f0d2cc0fb9250f14328e0e7cf7be5', 0)",0,0
"('from-dask-array-1ecf4dc1832bcee1871ded6a457b6a3d', 0)",220.84375,220.84375
"('assign-b37d495e7d78a0d2be0e668d2a034773', 0)",313.171875,313.171875
"('assign-b37d495e7d78a0d2be0e668d2a034773-index-04aebe162d31bb924405a5b2b8de453d', 0)",0,0
"('from-dask-array-7ed94c4aa77c19e73a68a9722a738e8d', 0)",220.84375,220.84375
"('assign-2483a1912a8d157ade880e67059f05f6', 0)",0,0
"('drop_by_shallow_copy-2fd7cc4442f67b116805ade6be099143', 0)",313.171875,313.171875
"('getitem-00c3bc50e51aeb42675626e00902c22e', 0)",0,0
"('astype-b563c4b51c8be729c6a44f15becde6c7', 0)",0,0
"('assign-8957d4ce7b8b2907cc01fab1d0ddf340', 0)",313.171875,313.171875
"('getitem-ce1a7c76c10d8cf986223dbfabfec30b', 0)",0,0
"('astype-b85472d8043d1de1db55008196a3e38d', 0)",0,0
"('assign-2bc38d671d3491bafaea3775a6a9324c', 0)",0,0
"('getitem-e493b5a30bfc0b493b721317dbecca51', 0)",313.171875,313.171875
"('astype-61a4fe91cd22af9d7274b8ac4313cd12', 0)",0,0
"('assign-28f9fe13795f35f58f8badea093e7724', 0)",0,0
"('try_loc-1e5cd7efb939cb950838adaacad5258d', 0)",0,0
"('get-categories-chunk-90e2670ae3f916c0d2337ec3f4e21eb1', 0)",313.171875,313.171875
"('get-categories-agg-90e2670ae3f916c0d2337ec3f4e21eb1', 0)",0,0
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",313.16015625,313.16015625
list-baed699e-d9c3-4b14-abeb-1349194e444b,265.29296875,952.484375
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",313.40625,313.40625
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",284.61328125,942.7421875
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",305.4140625,963.34375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",296.73046875,525.6953125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",313.16015625,2128.484375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",305.4140625,2723.90234375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",220.84375,2759.53125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",284.61328125,2122.8046875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",279.2734375,2136.5
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",313.40625,2116.23046875
"('dataframe-groupby-first-agg-reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",316.77734375,316.77734375
"('reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",0,0
"('getitem-map-c8119b109b0943b53a8a01b14e61645b', 0)",316.77734375,316.77734375
"('map-c8119b109b0943b53a8a01b14e61645b', 0)",0,0
"('get_dummies-0bf37ea1b91af757dc9a754e74985701', 0)",0,0
"('dataframe-count-chunk-dataframe-count-agg-de3b7913004dd2b490ee9d011dfa508d', 0)",316.77734375,316.77734375
"('dataframe-sum-chunk-dataframe-sum-agg-898631712640ffe00437b621df661b85', 0)",0,0
"('dataframe-count-agg-de3b7913004dd2b490ee9d011dfa508d', 0)",0,0
"('dataframe-sum-agg-898631712640ffe00437b621df661b85', 0)",0,0
"('values-e7d6428f659ccafc3d552de24a640887', 0)",0,0
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",199.21875,366.12109375
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",277.984375,277.984375
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",291.33203125,291.58984375
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",315.015625,315.015625
list-baed699e-d9c3-4b14-abeb-1349194e444b,309.55078125,309.55078125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",330.8125,537.9375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",316.77734375,2189.50390625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",337.484375,2702.87109375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",319.265625,3323.125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",291.58984375,2846.30859375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",277.984375,3372.671875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",315.015625,2165.74609375
"('dataframe-groupby-first-agg-c178bea3285714c2f28c0cce8ddd3ca9', 0)",340.2734375,340.2734375
"('reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",340.2734375,340.2734375
"('getitem-bbd890544e6a01b508e429be4a4f95dd', 0)",0,0
"('map-c8119b109b0943b53a8a01b14e61645b', 0)",0,0
"('len-0aad90a5ef9caa951e0310e28a377411', 0)",340.2734375,340.2734375
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",340.50390625,340.50390625
list-baed699e-d9c3-4b14-abeb-1349194e444b,358.1640625,488.375
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",199.21875,199.21875
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",313.06640625,313.06640625
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",336.359375,336.359375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",358.1640625,546.3515625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",313.06640625,2314.7578125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",323.234375,2146.3984375
