task_key,min_memory_mb,max_memory_mb
"('assign-d389867e25312b5ea0041becb0b134e7', 0)",297.30078125,297.30078125
"('assign-d389867e25312b5ea0041becb0b134e7-index-fb886502a87fb7bb2923b9eb509215ec', 0)",0,0
"('from-dask-array-c779a3465119bfd9a86d36be5c787607', 0)",122.6171875,122.6171875
"('assign-3f77a21fd1de51b0f924b91ec94f19c6', 0)",297.30078125,297.30078125
"('assign-3f77a21fd1de51b0f924b91ec94f19c6-index-494f0d2cc0fb9250f14328e0e7cf7be5', 0)",0,0
"('from-dask-array-1ecf4dc1832bcee1871ded6a457b6a3d', 0)",122.8671875,122.8671875
"('assign-b37d495e7d78a0d2be0e668d2a034773', 0)",297.30078125,297.30078125
"('assign-b37d495e7d78a0d2be0e668d2a034773-index-04aebe162d31bb924405a5b2b8de453d', 0)",0,0
"('from-dask-array-7ed94c4aa77c19e73a68a9722a738e8d', 0)",122.8671875,122.8671875
"('assign-2483a1912a8d157ade880e67059f05f6', 0)",297.30078125,297.30078125
"('drop_by_shallow_copy-2fd7cc4442f67b116805ade6be099143', 0)",0,0
"('getitem-00c3bc50e51aeb42675626e00902c22e', 0)",0,0
"('astype-b563c4b51c8be729c6a44f15becde6c7', 0)",297.30078125,297.30078125
"('assign-8957d4ce7b8b2907cc01fab1d0ddf340', 0)",0,0
"('getitem-ce1a7c76c10d8cf986223dbfabfec30b', 0)",0,0
"('astype-b85472d8043d1de1db55008196a3e38d', 0)",297.30078125,297.30078125
"('assign-2bc38d671d3491bafaea3775a6a9324c', 0)",0,0
"('getitem-e493b5a30bfc0b493b721317dbecca51', 0)",0,0
"('astype-61a4fe91cd22af9d7274b8ac4313cd12', 0)",0,0
"('assign-28f9fe13795f35f58f8badea093e7724', 0)",297.30078125,297.30078125
"('try_loc-1e5cd7efb939cb950838adaacad5258d', 0)",0,0
"('get-categories-chunk-90e2670ae3f916c0d2337ec3f4e21eb1', 0)",0,0
"('get-categories-agg-90e2670ae3f916c0d2337ec3f4e21eb1', 0)",0,0
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",297.53125,297.53125
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",299.95703125,949.6015625
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",265.28515625,596.94921875
list-a15380e3-4cb8-4234-b17e-daffe4e5922a,264.96875,933.09765625
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",299.953125,957.88671875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",264.96875,471.46484375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",288.26171875,2222.16015625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",300.16015625,2611.09375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",265.28515625,2820.57421875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",297.53125,2286.01953125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",299.953125,2577.88671875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",122.8671875,2177.26171875
"('dataframe-groupby-first-agg-reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",243.55859375,243.55859375
"('reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",0,0
"('getitem-map-c8119b109b0943b53a8a01b14e61645b', 0)",0,0
"('map-c8119b109b0943b53a8a01b14e61645b', 0)",0,0
"('get_dummies-0bf37ea1b91af757dc9a754e74985701', 0)",244.30078125,244.30078125
"('dataframe-count-chunk-dataframe-count-agg-de3b7913004dd2b490ee9d011dfa508d', 0)",0,0
"('dataframe-sum-chunk-dataframe-sum-agg-898631712640ffe00437b621df661b85', 0)",0,0
"('dataframe-count-agg-de3b7913004dd2b490ee9d011dfa508d', 0)",0,0
"('dataframe-sum-agg-898631712640ffe00437b621df661b85', 0)",0,0
"('values-e7d6428f659ccafc3d552de24a640887', 0)",244.30078125,244.30078125
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",0,0
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",334.390625,334.390625
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",268.3203125,362.19921875
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",286.4453125,286.4453125
list-a15380e3-4cb8-4234-b17e-daffe4e5922a,316.91015625,1986.48046875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",316.91015625,518.44140625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",244.53515625,1908.85546875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",304.55859375,2069.75
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",334.390625,2089.9453125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",286.4453125,2385.046875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",284.875,2312.92578125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",333.2109375,2453.515625
"('dataframe-groupby-first-agg-c178bea3285714c2f28c0cce8ddd3ca9', 0)",341.94140625,341.94140625
"('reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",341.94140625,341.94140625
"('getitem-bbd890544e6a01b508e429be4a4f95dd', 0)",0,0
"('map-c8119b109b0943b53a8a01b14e61645b', 0)",0,0
"('len-0aad90a5ef9caa951e0310e28a377411', 0)",341.94140625,342.3984375
list-a15380e3-4cb8-4234-b17e-daffe4e5922a,327.1015625,481.2421875
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",336.671875,336.671875
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",270.8125,271.0703125
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",268.50390625,268.50390625
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",319.28125,319.28125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",327.1015625,527.3671875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",342.3984375,2556.4296875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",271.0703125,2544.03125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",338.33203125,2347.9375
